month,all_visits,completed,active_techs,completed_per_tech
2024-09,977,977,2,489
2024-10,1011,1011,2,506
2024-11,685,685,2,343
2024-12,699,699,3,233
2025-01,700,700,3,233
2025-02,612,612,3,204
2025-03,733,733,3,244
2025-04,651,651,3,217
2025-05,767,767,3,256
2025-06,1057,1057,4,264
2025-07,1556,1556,4,389
2025-08,1451,1451,3,484
2025-09,1479,1479,4,370
2025-10,1697,1697,3,566
2025-11,1107,1107,3,369
2025-12,972,972,3,324
2026-01,902,902,3,301
2026-02,939,939,3,313
2026-03,1000,1000,4,250
2026-04,1003,1003,3,334
2026-05,1110,1110,4,278
2026-06,1616,1616,4,404
2026-07,2372,2372,6,395
2026-08,2506,2503,7,358
2026-09,131,51,0,0
