url,h1,word_count,ranked_kw,top3_kw,pub_date,author,has_faq,has_table,internal_links,images,h2_count,first_100
/how-many-eyes-do-moles-have/,How Many Eyes Do Moles Have?,416,90,46,2024-10-24T23:43:22+00:00,Spencer Hill,True,False,112,2,1,"Share Blog How Many Eyes Do Moles Have? October 24, 2024 Spencer Hill Do Moles Have Eyes? At Got Moles? , we focus solel"
/do-moles-bite/,Do Moles Bite?,628,33,14,2024-12-12T20:51:35+00:00,Spencer Hill,False,False,115,2,3,"Share Blog Do Moles Bite? December 12, 2024 Spencer Hill Do Moles Bite? At Got Moles? , we know that mole infestations c"
/what-do-moles-eat/,What Do Moles Eat?,619,102,7,2024-06-13T17:29:42+00:00,Spencer Hill,False,False,111,2,1,"Share Blog What Do Moles Eat? June 13, 2024 Spencer Hill What Do Moles Eat? In our eternal battle with Washington&#8217;"
/do-moles-carry-diseases/,Do Moles Carry Diseases?,638,25,4,2024-07-16T21:30:18+00:00,Spencer Hill,False,False,112,2,1,"Share Blog Do Moles Carry Diseases? July 16, 2024 Spencer Hill Do Moles Carry Diseases? Moles are solitary creatures tha"
/are-moles-nocturnal/,Are Moles Nocturnal?,1156,17,4,2025-02-01T00:00:00+00:00,Spencer Hill,True,False,112,2,3,"Share Blog Are Moles Nocturnal? February 1, 2025 Spencer Hill Are Moles Nocturnal? Moles are fascinating creatures known"
/what-species-of-moles-live-in-washington-state/,What Species of Moles Live in Washington State?,1586,9,2,2025-07-07T05:02:46+00:00,Spencer Hill,False,False,126,1,8,Share What Species of Moles Live in Washington State? A Guide for Homeowners and Gardeners Moles are a common nuisance f
/voles-vs-moles-whats-the-difference/,Voles VS Moles: What&#8217;s The Difference?,551,80,0,2024-09-14T00:31:23+00:00,Spencer Hill,False,True,112,2,3,"Share Blog Voles VS Moles: What&#8217;s The Difference? September 14, 2024 Spencer Hill Voles VS Moles: What&#8217;s The"
/do-moles-hibernate/,Do Moles Hibernate?,975,35,0,2025-01-01T11:06:00+00:00,Spencer Hill,False,False,112,2,2,"Share Blog Do Moles Hibernate? January 1, 2025 Spencer Hill Do Moles Hibernate? If you&#8217;ve ever noticed that the mo"
/how-to-get-rid-of-ground-moles-with-vinegar/,How to Get Rid of Ground Moles with Vinegar,580,9,0,2024-08-29T21:11:48+00:00,Spencer Hill,False,False,112,2,1,"Share Blog How to Get Rid of Ground Moles with Vinegar August 29, 2024 Spencer Hill How to Get Rid of Ground Moles with "
/what-do-mole-holes-look-like/,What Do Mole Holes Look Like? Identify Them Before They Damage Your Yard,921,3,0,2025-06-02T08:33:54+00:00,Spencer Hill,False,False,115,1,8,"Share You’re sipping coffee on your patio, admiring your yard—and then you see it: a small pile of dirt that wasn’t ther"
