id,handle,title,vendor,origin,brand,originNote,inHouse,platform,type,tags,variants,priceMin,priceMax,discounted,discPct,compareAt,available,images,descChars,descState,skuMissing,titleIssues,created
8116361068613,compact-intercooler,Compact Intercooler,Syperformance,IN-HOUSE,SYPerformance,,true,Unclassified,,Intercooler|Street intercooler,1,475,475,false,0,,true,1,188,THIN,1,,2026-06-09
7110594265157,honda-k-series-k20a2-rsx-type-s-2nd-gear,Honda K Series K20a2 Rsx Type S 2nd Gear,SYNCHRO SOLUTIONZ,IN-HOUSE,Synchro Solutionz,,true,Honda K,,2nd gear|6spd|Type s,1,220,220,false,0,,true,1,53,STUB,1,,2024-03-30
7116425494597,b-series-single-lobe-billet-rockers,B Series Single Lobe Billet Rockers,Syperformance,IN-HOUSE,SYPerformance,,true,Honda K + Honda B,,B series rockers|B series single lobe|B series vtec killer rockers|B16 rockers|B18 rockers|Civic si rockers|Gsr rockers|Vtec rockers,1,795,795,true,5,835.00,true,3,70,STUB,1,,2024-04-02
8058628571205,pulsar-next-gen-blow-off-valve,Pulsar Next Gen Blow Off Valve,PULSAR,RESOLD,Pulsar,,false,Unclassified,,Blow off valve|Bov|PULSAR,1,200,200,false,0,,true,2,151,THIN,1,,2026-04-23
7466860249157,syp-2021-toyota-supra-a90-a91-3-0-6-port-turbo-kit,SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit,Syperformance,UNKNOWN,SYPerformance,vendor=SYP but title is not a known in-house part family - owner must confirm,false,B58/BMW-Toyota,,2021 supra turbo kit|2022 supra turbo kit|A90|A90 6 port turbo kit|A90 supra|A90 supra turbo kit|A90 top mount turbo kit|A91 supra turbo kit|Ams|B58 6 port turbo kit|B58 gen 2|B58 turbo kit|Doc race|Ets|Klm|Mk5 supra turbo kit|Mkv supra turbo kit|Ptuned|Speed society|Supra 6 port turbo kit|Supra top mount turbo kit|Supra twin scroll|Titan supra,20,4000,7650,false,0,,true,21,1523,OK,20,SYP-abbrev,2024-11-19
7961536692293,k-series-transfer-case-billet-block-off,K Series Transfer Case Billet Block Off,Syperformance,IN-HOUSE,SYPerformance,,true,Honda K,,K series t case block off|Transfer Case Block off plate,1,110,110,false,0,,true,4,153,THIN,1,,2026-02-21
7961535086661,k-series-awd-billet-bellhousing,K Series Awd Billet Bellhousing,Syperformance,IN-HOUSE,SYPerformance,,true,Honda K,,Awd|Billet bellhousing|Billet case|K series Billet bellhousing|K20 bellhousing|K24 billet bellhousing,2,2995,3095,false,0,,true,3,176,THIN,2,,2026-02-21
7861693022277,b-series-honda-billet-water-necks,B Series Honda Billet Water Necks,Syperformance,IN-HOUSE,SYPerformance,,true,Honda B,,B16 water neck|B18|B18 b16|B18 water neck,4,55,55,false,0,,true,1,94,STUB,4,,2025-11-25
7668516749381,coolant-fill-weld-on-fittings,Coolant Fill Weld On Fittings,Syperformance,IN-HOUSE,SYPerformance,,true,Universal / fab,,16 an fittings|Hose fittings,6,25,25,false,0,,true,4,202,THIN,6,,2025-07-15
7357211869253,b58-2-bolt-throttle-body-flange,B58 2 Bolt Throttle Body Flange,Syperformance,IN-HOUSE,SYPerformance,,true,B58/BMW-Toyota,,B58 throttle body flange|Billet throttle body flange supra|Supra throttle body flange,1,50,50,false,0,,true,2,60,STUB,1,,2024-07-06
7607494180933,b-series-coolant-flanges,B Series Coolant Flanges,Syperformance,IN-HOUSE,SYPerformance,,true,Honda B,,B16 flange|B18 flange,2,30,30,false,0,,true,1,34,STUB,2,,2025-04-30
7607493787717,turbo-discharge-vband-flanges-3-5-8,"Turbo Discharge Vband Flanges 3 5/8""",Syperformance,IN-HOUSE,SYPerformance,,true,Universal / fab,,"3 5/8"" flange|Discharge flange|Downpipe flange|Precision turbo|PTP074-3036|T4 turbo flange",2,35,40,false,0,,true,4,83,STUB,2,,2025-04-30
7557477564485,stainless-flex-bellows,Stainless Flex Bellows,Syperformance,IN-HOUSE,SYPerformance,,true,Universal / fab,,Bellow|Flex bellows|Flex pipe,4,35,55,false,0,,true,1,37,STUB,4,,2025-03-11
7556312432709,lancer-evo-7-8-9-turbo-flange-factory-turbo,Lancer Evo 7/8/9 Turbo Flange Factory Turbo,Syperformance,IN-HOUSE,SYPerformance,,true,Evo 8/9,,Evo 8 flange|Evo 9 flange|Evo downpipe flange|Evo flange|Td05,1,55,55,false,0,,true,2,97,STUB,1,,2025-03-09
7023596044357,mandrel-bends-stainless-aluminum,Mandrel Bends Stainless304,Syperformance,IN-HOUSE,SYPerformance,,true,Universal / fab,,Mandrel bends,15,25,75,false,0,,true,5,15,STUB,15,,2024-01-20
7507632357445,k-series-hd-shift-selector-hammer,K Series HD Shift Selector Hammer (Scha),Syperformance,IN-HOUSE,SYPerformance,,true,Honda K,,K series selector|K series shift selector|K20 hd shift selector|K20 selector|Scha|Speedfactory selector,1,225,225,true,12,255.00,true,2,192,THIN,1,,2025-02-08
7506068570181,b16-race-fill-pot,B16 Race Fill Pot,Syperformance,UNKNOWN,SYPerformance,vendor=SYP but title is not a known in-house part family - owner must confirm,false,Honda B,,B series fill pot|B series swirl pot|B16 fill neck|B16 fill pot|B16 fill tank|B16 swirl pot,8,250,280,false,0,,true,2,182,THIN,8,,2025-02-05
7506062671941,b18-gsr-fill-pot,B18 GSR Fill Pot,Syperformance,UNKNOWN,SYPerformance,vendor=SYP but title is not a known in-house part family - owner must confirm,false,Honda B,,B18 fill pot|B18 swirl pot|B18 water neck,16,250,280,false,0,,true,3,272,THIN,16,,2025-02-05
7501135773765,vertical-flow-intercooler-universal,Vertical Flow Intercooler Universal,Syperformance,IN-HOUSE,SYPerformance,,true,Universal / fab,,Side feed intercooler|Twin turbo intercoolers|V mount intercooler|Vertical intercooler,1,575,575,false,0,,true,2,207,THIN,1,,2025-01-28
7501069353029,pulsar-wastegates,Pulsar Wastegates,Pulsar,RESOLD,Pulsar,,false,Unclassified,,45mm pulsar wastegate|60mm pulsar wastegate|Pulsar turbos|Pulsar wastegate,2,350,475,false,0,,true,1,12,STUB,2,,2025-01-28
7480684937285,honda-b-series-sfwd-intercooler,Honda Sfwd Intercooler B/D/H Series,Syperformance,IN-HOUSE,SYPerformance,,true,Honda B + Honda H/F,Intercooler,1000hp intercooler|1200hp intercooler|1400hp intercooler|Awd intercooler|B series intercooler|B16 turbo|B16 turbo intercooler|B18 turbo|B18 turbo kit|Front mount intercooler|Honda intercooler|Schmuck built intercooler|Sfwd intercooler|Speedfactory intercooler|Xfwd intercooler,16,685,985,false,0,,true,3,575,OK,16,,2024-12-20
7466831577157,k-swap-adapter-harness-honda,K Swap Adapter Harness Honda,Rywire,RESOLD,Rywire,,false,Honda K,,Honda k swap harness|K swap harness|Rywire swap harness,5,299,299,false,0,,true,1,1273,OK,5,,2024-11-18
