Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
compact-intercooler,Compact Intercooler,"<p>Intercooler for narrower size grill or tighter space.</p>
<p>Core 22x9x3.25</p>
<p>With tanks and ends total length 32""</p>
<p>3"" inlet/ 3"" outlet</p>
<p>M8x1.25 mounting bungs</p>
<p>Rated to 650hp</p>
<p>Pressure tested to 40psi</p>",Syperformance,,"Intercooler, Street intercooler",TRUE,Title,Default Title,,,,,,15876,,,continue,manual,475.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/1000076697.png?v=1781036488,1,Compact Intercooler,FALSE,active
honda-k-series-k20a2-rsx-type-s-2nd-gear,Honda K Series K20a2 Rsx Type S 2nd Gear,"<p>New oem gear</p>
<p>Type s 2nd gear 2.13 ratio<br></p>
<p>23431-PNS-000<br></p>
<p><br></p>",SYNCHRO SOLUTIONZ,,"2nd gear, 6spd, Type s",TRUE,Title,Default Title,,,,,,1361,,,continue,manual,220.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/20240216_162944_e276785d-b819-4287-aca3-2b21bb740d7b.jpg?v=1711861232,1,Honda K Series K20a2 Rsx Type S 2nd Gear,FALSE,active
b-series-single-lobe-billet-rockers,B Series Single Lobe Billet Rockers,"<p>Cnc billet rockers</p>
<p>Anodized green</p>
<p>Lightweight and strong</p>
<p>B series vtec</p>",Syperformance,,"B series rockers, B series single lobe, B series vtec killer rockers, B16 rockers, B18 rockers, Civic si rockers, Gsr rockers, Vtec rockers",TRUE,Title,Default Title,,,,,,4536,,,continue,manual,795.00,835.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/1000073046.png?v=1777916388,1,B Series Single Lobe Billet Rockers,FALSE,active
b-series-single-lobe-billet-rockers,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/FB_IMG_1730123044619.jpg?v=1730123090,2,B Series Single Lobe Billet Rockers,,
b-series-single-lobe-billet-rockers,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/FB_IMG_1730123048543.jpg?v=1730123090,3,B Series Single Lobe Billet Rockers,,
pulsar-next-gen-blow-off-valve,Pulsar Next Gen Blow Off Valve,"<p>50mm next gen bov </p>
<p>Valve Diameter: 52mm</p>
<p><br></p>
<p>Spring pressure(manifold vacuum): 10.5psi</p>
<p><br></p>
<p>Included in the Box:</p>
<p><br></p>
<p>Blow Off Valve</p>
<p>Inlet V-Band</p>
<p>Aluminium weld flange</p>",PULSAR,,"Blow off valve, Bov, PULSAR",TRUE,Title,Default Title,,,,,,3629,,,continue,manual,200.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/8.png?v=1776961305,1,Pulsar Next Gen Blow Off Valve,FALSE,active
pulsar-next-gen-blow-off-valve,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/Next-Gen-BOV-12.png?v=1776961317,2,Pulsar Next Gen Blow Off Valve,,
syp-2021-toyota-supra-a90-a91-3-0-6-port-turbo-kit,SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit,"<p>Syperformance Custom Hand Built Top Mount turbo kit.</p>
<p>Ss304 schedule 40 tubular manifold( tig welded, backpurged, ported entry, decked flanges, runners welded outside and inside of head flange for more strength)</p>
<p>Custom 1018 cnc turbo flange</p>
<p>Ss304 tig welded downpipe with flex bellow, 02 bungs and clamp (end fits in to stock size exhausts 3.15"") or 3.5"" open option.. leave note if you need it 3.5"" open, default to stock size 3.15"" outlet if no request!!</p>
<p>Ss304 tig welded dump tubes</p>
<p>T4 Turbo choices (dual ball bearing pulsar 6466, dual ball bearing pulsar 6870, next gen pte 6466, next gen pte 6870, next gen pte 7275.)</p>
<p>Pulsar wastegates 45mm</p>
<p>Turbo blanket</p>
<p>Turbo Gasket</p>
<p>Turbo Studs</p>
<p>Oil feed line kit -4an </p>
<p>Oil return line like -10an</p>
<p>Oil line heat sleeves</p>
<p>Water port block off fitting (back of engine) and barb plug for hose on aux pump, once that is removed as its oil cooled turbos only.</p>
<p>3"" Charge Pipe with hardware, ports for sensors and 1/8 npt. (Wrinkle black) (check out supra section for port injection kits)</p>
<p>3"" Couplers/T bolt clamps (2.5-3"" 90/ Straight 3"" or Hd clamp.)</p>
<p>Silicone Vacum line + barb tee(wastegate or boost controller plumbing)</p>
<p>Kit is made to order. Please allow 3-4 weeks. </p>
<p><strong>If not buying with turbo, this kit is only made to work with Pulsar style pte turbos or pte turbos scp. Not guaranteed to work with other turbos, no returns or refunds, buy at your own discrection.</strong></p>
<p>Optional</p>
<p>Gesi high flow cat (not pictured) will be sent seperate invoice if requested.</p>
<p>Hd quick disconnect clamp on charge pipe</p>",Syperformance,,"2021 supra turbo kit, 2022 supra turbo kit, A90, A90 6 port turbo kit, A90 supra, A90 supra turbo kit, A90 top mount turbo kit, A91 supra turbo kit, Ams, B58 6 port turbo kit, B58 gen 2, B58 turbo kit, Doc race, Ets, Klm, Mk5 supra turbo kit, Mkv supra turbo kit, Ptuned, Speed society, Supra 6 port turbo kit, Supra top mount turbo kit, Supra twin scroll, Titan supra",TRUE,Which kit?,No turbo,HD Clamp,Yes add black Hd Clamp,Runner size,"1.25""",,0,,,continue,manual,4150.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/1000022308.png?v=1732075296,1,SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit,FALSE,active
syp-2021-toyota-supra-a90-a91-3-0-6-port-turbo-kit,,,,,,,Which kit?,No turbo,HD Clamp,Yes add black Hd Clamp,Runner size,"1.5""",,0,,,continue,manual,4650.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/1000022306.png?v=1732075296,2,SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit,,
syp-2021-toyota-supra-a90-a91-3-0-6-port-turbo-kit,,,,,,,Which kit?,No turbo,HD Clamp,No hd clamp,Runner size,"1.25""",,0,,,continue,manual,4000.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/1000022294.png?v=1732075297,3,SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit,,
syp-2021-toyota-supra-a90-a91-3-0-6-port-turbo-kit,,,,,,,Which kit?,No turbo,HD Clamp,No hd clamp,Runner size,"1.5""",,0,,,continue,manual,4500.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0580/6135/7125/files/1000022298.png?v=1732075297,4,SYP 2021+ Toyota Supra A90 B58 3.0 6 Port Turbo Kit,,
